,Term,Documents
4257,heir,['392']
4258,held,"['001', '045', '097', '131', '136', '136', '176', '254', '254', '258', '270', '272', '278', '314', '381', '388', '433', '434', '434', '439', '441', '441', '489', '497']"
4259,heldr,['262']
4260,helicopt,"['499', '499']"
4261,helm,['234']
4262,help,"['010', '028', '098', '123', '132', '132', '165', '165', '191', '215', '218', '230', '256', '259', '268', '269', '272', '329', '340', '340', '340', '371', '375', '376', '409', '422', '447', '447', '450', '451', '459', '463', '463', '463', '494', '494', '494']"
4263,henri,['261']
4264,henriqu,['266']
4265,hensk,"['231', '231', '420', '420']"
4266,herald,['095']
4267,herbicid,"['045', '106']"
4268,herd,['172']
4269,hernandez,"['256', '256', '316']"
4270,hero,['028']
4271,herold,['195']
4272,hershfield,['277']
4273,hess,"['028', '028']"
4274,heyman,['102']
4275,hgca,"['473', '482']"
4276,hia,['229']
4277,high,"['012', '028', '029', '032', '045', '045', '045', '055', '078', '095', '097', '097', '098', '098', '107', '132', '133', '171', '171', '172', '174', '190', '194', '195', '195', '195', '200', '218', '230', '249', '254', '262', '262', '266', '268', '268', '268', '268', '268', '269', '276', '284', '292', '292', '371', '371', '399', '399', '399', '405', '431', '433', '438', '451', '451', '451', '453', '454', '469', '469', '470', '493']"
4278,high dens,['348']
4279,high pressur,['068']
4280,high qual,['371']
4281,high strength,['039']
4282,high tech,"['402', '405', '431']"
4283,highest capac,['348']
4284,highli,"['098', '122', '123', '249', '255', '259', '261']"
4285,highly charg,['379']
4286,highway,['258']
4287,hike,"['155', '451']"
4288,hill,"['112', '221', '335', '434', '434', '497']"
4289,hint,"['208', '497']"
4290,hire,"['320', '320']"
4291,histori,"['095', '284', '454']"
4292,hit,"['121', '207', '268', '376', '382', '385', '385', '405', '448', '451', '451']"
4293,hmc,['305']
4294,hnh,['041']
4295,hoc,['330']
4296,hog,"['172', '172', '442', '442']"
4297,hold,"['004', '010', '016', '078', '087', '114', '129', '135', '135', '135', '154', '154', '166', '167', '201', '242', '265', '267', '267', '292', '292', '314', '340', '355', '355', '355', '392', '426', '434', '439', '439', '463']"
4298,holder,"['004', '016', '023', '081', '104', '104', '105', '220', '298', '344', '465', '466', '466', '494']"
4299,holdov,['097']
4300,hole,"['203', '203', '487', '487', '487', '487', '487']"
4301,holiday,"['229', '229', '229', '229', '229', '229', '229']"
4302,holm,"['399', '399', '399']"
4303,home,"['029', '047', '070', '070', '070', '105', '105', '147', '239', '268', '343', '343', '343', '343', '343', '343', '389', '389', '473', '473', '473', '482']"
4304,homicid,['458']
4305,honda,['305']
4306,hondura,"['057', '057']"
4307,honeymoon,['261']
4308,hong,"['114', '140', '176', '176', '197', '355', '381', '381']"
4309,hongkong,"['140', '140', '197', '197', '197', '197']"
4310,honour,"['202', '311', '311', '311']"
4311,hook,"['265', '383']"
4312,hope,"['026', '028', '028', '045', '154', '227', '261', '316', '375', '392']"
4313,horizon,['221']
4314,hors,"['200', '200']"
4315,hosieri,['228']
4316,hospal,['407']
4317,hospit,"['287', '287', '407']"
4318,host,"['131', '428', '428', '428', '428', '428']"
4319,hostag,"['191', '495']"
4320,hostil,['379']
4321,hotel,"['007', '169', '169', '229', '229', '229', '229', '229', '229', '229', '229', '261', '261']"
4322,hour,"['123', '126', '126', '156', '258', '320', '326', '357', '385', '454']"
4323,hourli,"['211', '320']"
4324,hous,"['020', '028', '028', '029', '061', '061', '134', '134', '155', '155', '191', '198', '198', '204', '204', '215', '244', '246', '254', '254', '254', '254', '254', '254', '254', '268', '284', '312', '317', '340', '340', '340', '376', '422', '431', '431', '435', '435', '442', '459', '495', '495', '495', '495', '497', '497']"
4325,household,"['227', '227', '376']"
4326,houston,['010']
4327,houston bas,['068']
4328,howard,"['018', '127', '127', '132']"
4329,howev,"['004', '016', '061', '078', '097', '098', '107', '133', '145', '155', '195', '227', '227', '227', '227', '234', '235', '246', '265', '268', '268', '292', '328', '356', '372', '376', '383', '399', '433', '445', '448', '457', '462', '494', '497']"
4330,hr,"['049', '049', '049', '049']"
4331,hua,['141']
4332,huai,['317']
4333,huge,"['054', '218', '376', '431']"
4334,hugh,"['021', '021']"
4335,hughes/conserdyn,['021']
4336,humanitarian,['134']
4337,humbersid,['379']
4338,humid,['001']
4339,hundr,"['001', '032', '055', '266']"
4340,hungari,"['323', '323', '340', '463']"
4341,hunger,['134']
4342,hunt,['208']
4343,hurc,['186']
4344,hurco,['186']
4345,hurdl,['254']
4346,hurt,"['148', '459', '459', '494']"
4347,hurtado,['383']
4348,huski,"['355', '355', '355', '355', '355', '355', '355']"
4349,hutchison,"['355', '355', '381', '381']"
4350,hutton,"['098', '123', '217', '217', '217', '490']"
4351,hwg,['404']
4352,hwhh.hk,['381']
4353,hydro,"['349', '349', '349', '349']"
4354,hydro electr,['349']
4355,hydrogen,['410']
4356,hyo,['355']
4357,hzn,['221']
4358,iacocca,"['441', '441']"
4359,iad,['476']
4360,ian,"['265', '265']"
4361,ibj,"['273', '273']"
4362,ibm,"['206', '265', '265', '265']"
4363,icahn control,['201']
4364,ico,"['042', '042', '042', '042', '075', '075', '075', '322', '322', '322', '322']"
4365,idaho,"['340', '340', '463']"
4366,idb,['240']
4367,idbx,['240']
4368,idc,['265']
4369,idcc,['341']
4370,idea,"['155', '249', '314', '376']"
4371,ideal,['376']
4372,ident,['150']
4373,identifi,"['028', '149', '208', '254']"
4374,idl,"['194', '194', '194', '266']"
4375,igam,['183']
4376,ignaz,['462']
4377,ignor,['028']
4378,ii,['005']
4379,iida,"['376', '376', '376', '376', '376', '376', '376', '376']"
4380,iii,"['005', '157']"
4381,iin,['198']
4382,ilfc,['190']
4383,illeg,"['205', '266', '437']"
4384,illinoi,"['059', '059', '059', '059', '122']"
4385,ilmar,['111']
4386,imag,"['353', '353']"
4387,imagin,['265']
4388,imbal,"['254', '469', '469']"
4389,imec,"['255', '255']"
4390,imf,"['447', '498']"
4391,immedi,"['004', '004', '016', '016', '022', '087', '162', '206', '208', '255', '284', '292', '342', '404', '406', '435', '454', '457', '457']"
4392,immens,"['265', '379']"
4393,immin,['495']
4394,immun,"['191', '191', '191', '277', '277', '277', '277', '277']"
4395,immunodefici,['277']
4396,imog,['430']
4397,imp,['499']
4398,impact,"['010', '097', '111', '111', '111', '234', '249', '262', '268', '379', '399', '405', '435', '451', '492', '493', '495']"
4399,impedi,['268']
4400,imper,['284']
4401,imperi,['355']
4402,implement,"['017', '136', '498']"
4403,impli,['307']
4404,implic,"['008', '454']"
4405,import,"['046', '046', '046', '046', '046', '046', '047', '075', '148', '148', '148', '148', '207', '207', '218', '230', '230', '254', '254', '254', '259', '259', '259', '262', '262', '262', '265', '266', '374', '374', '374', '374', '374', '375', '375', '375', '375', '375', '379', '383', '383', '399', '422', '422', '422', '422', '422', '422', '422', '432', '432', '432', '441', '448', '448', '482', '491', '491', '491', '491', '491', '491', '493', '493', '493', '493', '493', '493', '493', '493', '496', '496']"
4406,importantli,"['268', '495']"
4407,impos,"['283', '318', '320', '422']"
4408,imposs,"['272', '314']"
4409,impress,"['054', '133', '136']"
4410,improb,['399']
4411,improv,"['001', '004', '010', '016', '017', '018', '023', '023', '027', '039', '054', '124', '156', '174', '194', '194', '195', '227', '227', '243', '254', '268', '268', '277', '305', '305', '333', '333', '373', '376', '379', '387', '449', '459', '496']"
4412,inaccur,['230']
4413,inadequ,['260']
4414,inc,"['002', '003', '008', '009', '010', '010', '011', '012', '013', '014', '015', '017', '018', '021', '023', '024', '025', '033', '033', '034', '034', '034', '035', '036', '044', '044', '044', '045', '045', '045', '052', '054', '054', '054', '056', '064', '065', '066', '067', '068', '068', '068', '070', '070', '072', '074', '078', '078', '083', '083', '084', '086', '087', '088', '090', '096', '098', '100', '102', '104', '105', '111', '112', '117', '120', '123', '123', '129', '129', '130', '135', '135', '142', '159', '160', '167', '168', '170', '174', '177', '180', '182', '183', '184', '185', '185', '186', '192', '195', '201', '201', '201', '206', '212', '213', '217', '220', '220', '226', '227', '232', '236', '239', '240', '241', '244', '245', '246', '250', '252', '257', '261', '261', '261', '261', '263', '277', '278', '278', '280', '282', '283', '285', '287', '289', '292', '296', '297', '298', '298', '299', '309', '310', '310', '324', '325', '325', '327', '333', '333', '333', '336', '342', '344', '345', '346', '350', '351', '351', '352', '353', '356', '362', '363', '365', '366', '388', '388', '388', '393', '394', '396', '400', '404', '405', '406', '407', '408', '408', '408', '411', '412', '412', '413', '415', '416', '417', '418', '419', '423', '428', '431', '444', '455', '460', '461', '464', '465', '466', '467', '468', '470', '472', '476', '478', '484', '485', '486', '487', '489', '490', '490', '490', '490', '490', '490', '490', '499', '499', '500']"
4415,incent,"['026', '134', '134', '243', '305', '305']"
4416,inch,"['094', '094', '264', '264', '484', '484']"
4417,incid,"['132', '266']"
4418,includ,"['001', '008', '010', '011', '012', '026', '027', '028', '034', '041', '041', '042', '044', '050', '059', '066', '069', '074', '074', '075', '078', '079', '082', '090', '095', '101', '129', '135', '135', '136', '136', '138', '149', '149', '157', '164', '170', '184', '185', '188', '192', '193', '193', '194', '194', '198', '200', '200', '208', '209', '209', '219', '219', '221', '221', '228', '229', '235', '236', '238', '239', '254', '257', '260', '261', '265', '269', '275', '275', '283', '298', '304', '305', '307', '309', '325', '330', '336', '348', '363', '375', '376', '376', '383', '388', '388', '393', '402', '402', '402', '402', '410', '415', '424', '426', '428', '433', '439', '445', '445', '445', '461', '465', '469', '474', '476', '491']"
4419,inclus,['469']
4420,inco,"['111', '111', '111', '111', '111', '111', '111', '111', '111', '111']"
4421,incom,"['026', '050', '123', '168', '235', '256', '262', '262', '262', '268', '272', '275', '293', '293', '349', '399', '399', '399', '415', '440', '454']"
4422,incompet,['028']
4423,incorpor,['348']
4424,increas,"['009', '010', '023', '023', '023', '040', '047', '051', '054', '054', '058', '059', '063', '086', '093', '133', '134', '151', '151', '155', '160', '162', '174', '196', '207', '212', '214', '216', '220', '227', '227', '227', '234', '239', '252', '252', '252', '255', '255', '257', '259', '259', '262', '262', '265', '267', '267', '268', '268', '268', '268', '268', '270', '277', '284', '288', '294', '305', '322', '323', '323', '333', '333', '334', '338', '340', '340', '340', '343', '349', '349', '349', '372', '377', '377', '399', '399', '401', '401', '405', '409', '418', '424', '432', '432', '435', '437', '438', '444', '445', '445', '445', '445', '448', '448', '448', '451', '451', '451', '457', '463', '463', '463', '464', '474', '475', '482', '483', '496']"
4425,increasingli,"['207', '207', '448', '448']"
4426,incur,"['185', '445']"
4427,ind,"['052', '070']"
4428,indefinit,"['194', '266', '320']"
4429,indemnifi,['147']
4430,independ,"['151', '207', '348', '356', '448']"
4431,index,"['047', '111', '111', '111', '111', '111', '133', '207', '281', '281', '303', '330', '345', '425', '448', '469', '469', '469', '469']"
4432,indiana,"['122', '194']"
4433,indic,"['078', '123', '169', '194', '261', '269', '281', '284', '302', '357', '357', '493', '494', '498']"
4434,indict,"['149', '149']"
4435,indirect,"['264', '264']"
4436,individu,"['045', '061', '111', '268', '268', '319', '319', '379']"
4437,indonesia,"['438', '438', '438']"
4438,indonesian,"['322', '438', '438']"
4439,indosuez,"['270', '270']"
4440,induc,"['196', '268']"
4441,industri,"['004', '016', '044', '052', '068', '068', '072', '079', '111', '111', '128', '128', '133', '133', '148', '153', '154', '163', '176', '176', '177', '180', '180', '190', '195', '203', '204', '207', '208', '208', '229', '233', '234', '243', '244', '247', '254', '254', '254', '254', '259', '262', '262', '265', '267', '267', '267', '268', '268', '268', '268', '268', '268', '268', '268', '268', '269', '273', '281', '292', '292', '302', '304', '305', '308', '315', '320', '322', '322', '333', '336', '348', '350', '355', '361', '367', '367', '367', '375', '376', '377', '379', '386', '392', '399', '408', '408', '411', '417', '422', '422', '428', '436', '436', '436', '436', '441', '448', '448', '451', '451', '466', '466', '475', '476', '488', '488', '493', '493', '496', '496', '498', '499']"
4442,ined,"['410', '410']"
4443,inelig,['122']
4444,inevit,['451']
4445,infanc,['248']
4446,infantri,['258']
4447,infect,"['277', '277']"
4448,inflat,"['047', '047', '047', '208', '208', '262', '284', '448', '451', '451', '451', '451', '496', '496', '498']"
4449,inflow,"['110', '372', '372', '372', '372', '372', '372', '372']"
4450,influenc,"['207', '230', '448']"
4451,inform,"['020', '020', '075', '201', '201', '206', '250', '265', '265', '265', '265', '265', '311', '348', '348', '348', '348', '348', '348', '348', '348', '494', '495', '497', '497']"
4452,infring,"['354', '354', '354']"
4453,infus,"['395', '494']"
4454,ingal,['045']
4455,ingredi,['268']
4456,inherit,"['139', '392']"
4457,init,['109']
4458,initi,"['004', '016', '019', '028', '033', '033', '046', '047', '070', '082', '101', '101', '105', '105', '120', '129', '146', '152', '190', '198', '202', '215', '239', '239', '292', '298', '314', '348', '376', '390', '396', '396', '423', '423', '445', '490', '490', '492', '495', '497', '497']"
4459,inject,"['277', '372', '491']"
4460,injur,"['254', '317']"
4461,injuri,"['259', '422']"
4462,inland,"['070', '070', '476', '476']"
4463,inn,"['007', '007', '229', '229']"
4464,inra,"['386', '386', '386']"
4465,insid,"['265', '376']"
4466,insist,"['235', '451', '451']"
4467,insititut,['282']
4468,inspect,"['128', '202', '247']"
4469,instal,"['021', '078', '437']"
4470,instanc,"['208', '340', '463']"
4471,instead,"['210', '223', '379', '495']"
4472,institut,"['020', '028', '028', '058', '058', '097', '111', '128', '131', '157', '157', '162', '203', '207', '241', '247', '248', '268', '268', '268', '287', '289', '340', '367', '367', '379', '379', '397', '409', '419', '448', '463', '494']"
4473,instrument,"['088', '088', '088', '135', '135', '135', '407']"
4474,insur,"['135', '147', '167', '246', '395', '395', '395', '395', '395', '395', '409', '409', '418', '419', '419', '472']"
4475,int,"['183', '342', '393', '406']"
4476,intang,"['402', '405']"
4477,intc,['206']
4478,integr,"['124', '265', '348', '379']"
4479,intek,['341']
4480,intel,['206']
4481,intellig,"['028', '088', '088', '207', '348', '431', '448']"
4482,intend,"['020', '032', '051', '055', '061', '061', '128', '128', '130', '148', '247', '247', '254', '325', '340', '353', '375', '422']"
4483,intens,['135']
4484,intent,"['106', '112', '217', '255', '255', '353', '392', '439', '441', '441', '465']"
4485,interact,['131']
4486,interag,"['497', '497', '497']"
4487,interagra,['255']
4488,interbank,"['210', '492']"
4489,interconnect,['209']
4490,interesdt,['278']
4491,interest,"['002', '004', '004', '004', '007', '016', '016', '016', '020', '026', '026', '026', '028', '040', '045', '060', '060', '078', '078', '078', '103', '103', '123', '123', '123', '123', '123', '133', '133', '138', '138', '150', '153', '154', '157', '196', '201', '207', '208', '208', '208', '208', '210', '217', '217', '218', '221', '228', '235', '235', '255', '255', '255', '261', '261', '261', '268', '296', '302', '304', '305', '307', '308', '314', '314', '314', '314', '314', '314', '340', '379', '383', '388', '388', '392', '434', '434', '439', '441', '441', '448', '451', '451', '451', '451', '451', '451', '463', '466', '488', '488', '488', '492', '493', '498', '498']"
4492,intergroup,"['015', '015', '015']"
4493,interior,['383']
4494,interlist,['150']
4495,intermedi,"['178', '334', '425', '425']"
4496,intermediari,['246']
4497,intermedics intraocular,['405']
4498,intermitt,['026']
4499,intern,"['013', '042', '056', '056', '056', '067', '067', '073', '075', '086', '086', '098', '098', '118', '123', '123', '124', '127', '134', '152', '156', '158', '158', '162', '183', '190', '190', '190', '190', '202', '206', '208', '218', '229', '229', '229', '230', '242', '246', '246', '248', '248', '248', '248', '263', '265', '265', '265', '271', '289', '322', '340', '342', '342', '362', '371', '371', '376', '381', '381', '382', '383', '383', '385', '386', '387', '387', '387', '406', '406', '422', '426', '436', '446', '447', '447', '448', '449', '449', '449', '459', '459', '459', '463', '492', '496', '496', '496', '498']"
4500,internationalis,"['387', '449']"
4501,interpharm,"['388', '388', '388', '388']"
4502,intersect,"['487', '487', '487']"
4503,interst,"['004', '004', '016', '016', '123']"
4504,intervent,"['116', '116', '116', '272', '315', '315', '454', '454', '462', '473', '473']"
4505,interview,"['060', '078', '195', '265', '292', '376', '392', '493', '497']"
4506,introduc,"['020', '020', '032', '032', '055', '055', '061', '206', '206', '265', '265', '277', '321', '329', '340', '340', '348', '433', '435', '463']"
4507,introduct,"['056', '107', '180', '208', '379', '438']"
4508,intrus,['202']
4509,invent,['039']
4510,inventori,"['019', '211', '264', '264', '268', '268', '268', '268', '306']"
4511,invers,"['239', '239', '239', '239', '435']"
4512,invest,"['002', '021', '026', '054', '054', '054', '058', '091', '091', '098', '098', '106', '111', '124', '154', '167', '176', '176', '176', '194', '208', '228', '233', '233', '244', '244', '262', '262', '268', '268', '269', '301', '310', '318', '340', '351', '372', '372', '372', '372', '376', '379', '383', '392', '393', '418', '439', '439', '440', '451', '463', '466', '472', '476', '479', '483', '489', '493', '496', '496']"
4513,investig,"['149', '149', '191', '246', '277', '422', '477']"
4514,investment qu,['389']
4515,investor,"['008', '111', '123', '123', '135', '135', '135', '162', '195', '248', '248', '260', '261', '265', '270', '289', '319', '379', '389', '435', '465', '465', '494']"
4516,invit,"['116', '208']"
4517,involv,"['010', '045', '045', '117', '123', '134', '140', '191', '209', '223', '330', '376', '422', '435', '437', '451']"
4518,iomega,"['264', '264', '264', '264', '264', '430', '430', '430']"
4519,iomg,['264']
4520,iot,['342']
4521,iowa,['122']
4522,ir,"['242', '242', '242', '242']"
4523,iran,"['028', '028', '028', '043', '043', '095', '095', '095', '149', '149', '191', '191', '191', '198', '258', '276', '276', '276', '276', '433', '495', '495', '497']"
4524,iranian,"['095', '095', '095', '095', '258', '258', '258', '276', '276', '276', '276', '276', '276']"
4525,iraq,"['095', '095', '095', '095', '109', '109', '109', '258', '258', '276', '276', '276', '276', '276', '433']"
4526,iraq impos,['095']
4527,iraqi,"['095', '095', '258', '276', '276', '276']"
4528,ire,"['340', '463']"
4529,ireland,['462']
4530,irna,"['095', '095']"
4531,iron,['376']
4532,irrat,['437']
4533,irrevoc,['201']
4534,island,"['095', '200', '375', '375']"
4535,israel,['200']
4536,issu,"['004', '012', '016', '020', '028', '035', '070', '123', '123', '125', '135', '135', '136', '136', '143', '143', '143', '162', '162', '162', '162', '162', '162', '162', '162', '169', '183', '183', '188', '188', '213', '222', '222', '228', '239', '242', '246', '246', '248', '254', '259', '259', '262', '287', '292', '306', '306', '306', '330', '330', '330', '345', '345', '359', '397', '397', '397', '397', '397', '421', '423', '423', '434', '434', '439', '439', '441', '471', '471', '472', '472', '482', '495']"
4537,issuabl,['325']
4538,issuanc,"['257', '273', '306']"
4539,issuer,"['020', '135']"
4540,istanbul,"['156', '156', '156', '382', '382', '382']"
4541,itali,"['158', '162', '162', '209', '385', '385', '426', '482']"
4542,italian,"['162', '499']"
4543,italtel,['209']
4544,item,"['032', '055', '246', '265', '375', '402', '405', '418']"
4545,itsu.t,['431']
4546,itt,"['153', '357', '357', '357']"
4547,itt.n,['153']
4548,iv,"['005', '005', '005', '005', '005']"
4549,ivaco,"['090', '174', '174', '174']"
4550,j,"['123', '195', '322']"
4551,j.c,"['331', '400', '400']"
4552,j.p,"['123', '123']"
4553,jagr.l,['107']
4554,jaguar,"['107', '107', '107', '107', '107', '107', '107', '107']"
4555,jail,['117']
4556,jaim,['383']
4557,jam proof,['357']
4558,jamaica,"['138', '138', '138', '138', '138', '138', '466']"
4559,jame,"['052', '136', '254', '263', '315', '340', '463', '469', '492']"
4560,jamesway,"['338', '338']"
4561,jan,"['013', '066', '140', '182', '192', '194', '225', '233', '250', '257', '280', '363', '366', '370', '384', '466', '478', '485']"
4562,jan/feb,"['200', '200', '200']"
4563,janeiro,"['266', '437', '437']"
4564,janney,"['070', '105']"
4565,januari,"['001', '004', '005', '016', '029', '029', '029', '046', '048', '048', '054', '054', '054', '054', '054', '054', '056', '074', '093', '093', '093', '095', '109', '112', '116', '127', '153', '172', '197', '204', '204', '204', '204', '204', '208', '208', '208', '224', '248', '248', '250', '255', '261', '281', '281', '281', '283', '284', '302', '303', '303', '303', '303', '303', '313', '313', '313', '314', '314', '314', '336', '343', '343', '343', '343', '343', '343', '343', '343', '343', '343', '347', '347', '358', '367', '367', '375', '377', '377', '383', '383', '392', '410', '410', '410', '416', '422', '422', '425', '425', '425', '425', '425', '425', '425', '425', '425', '425', '430', '445', '445', '453', '453', '482', '482', '482', '482']"
4566,january decemb,['046']
4567,japan,"['018', '127', '127', '157', '157', '157', '157', '157', '169', '207', '207', '207', '207', '207', '207', '207', '218', '218', '254', '259', '259', '259', '259', '259', '259', '259', '259', '259', '265', '273', '319', '319', '376', '376', '376', '376', '376', '376', '377', '380', '381', '381', '432', '436', '447', '447', '448', '448', '448', '448', '448', '448', '448']"
4568,japanes,"['107', '126', '127', '207', '259', '259', '259', '318', '319', '376', '376', '377', '377', '431', '431', '431', '436', '436', '448']"
4569,jcp,['400']
4570,jcpenney,['400']
4571,jean baptist,['255']
4572,jeddah bas,['270']
4573,jeep,"['305', '320', '320']"
4574,jefferi,['098']
4575,jerritt,"['242', '242']"
4576,jersey,"['261', '261', '261']"
4577,jess,['234']
4578,jet,"['376', '427', '427', '429', '475']"
4579,jeumont schneid,['154']
4580,jim,"['133', '155', '494']"
4581,jinan,['371']
4582,jmi,['338']
4583,job,"['028', '028', '032', '055', '340', '451', '463', '463', '496']"
4584,jobless,"['313', '347', '347', '436']"
4585,joe,['136']
4586,john,"['028', '029', '061', '102', '107', '107', '107', '123', '195', '231', '231', '370', '420', '420']"
4587,johnston,"['231', '231', '420']"
4588,join,"['025', '334', '373', '451', '499']"
4589,joint,"['002', '078', '078', '078', '095', '102', '106', '106', '106', '106', '127', '154', '207', '235', '255', '255', '255', '342', '342', '353', '356', '371', '371', '374', '380', '406', '406', '445', '448', '476', '479', '479', '479', '491']"
4590,jointli,"['353', '376', '487']"
4591,joliet,['059']
4592,jon,['119']
4593,jone,"['111', '111']"
4594,jong,['471']
4595,jorg,['235']
4596,jose,"['302', '437']"
4597,joseph,"['004', '016']"
4598,journal,"['078', '111', '131', '132', '139', '277', '423']"
4599,journalist,"['269', '272']"
4600,jpm,['123']
4601,jpn,['157']
4602,jr,"['231', '420']"
4603,juan,['302']
4604,judg,"['136', '428', '428']"
4605,judgment,['379']
4606,juic,['255']
4607,jukebox lik,['265']
4608,jul,['006']
4609,juli,"['001', '001', '005', '148', '281', '482']"
4610,jump,"['133', '372', '372', '436']"
4611,jun,"['006', '006']"
4612,june,"['056', '125', '126', '133', '133', '133', '133', '133', '142', '152', '194', '231', '242', '261', '285', '292', '292', '295', '307', '314', '420', '445', '445', '475']"
4613,june/juli,"['001', '001', '001']"
4614,jungl,"['316', '383']"
4615,junior,['312']
4616,juri,['133']
4617,just releas,['194']
4618,justic,"['149', '356']"
4619,justifi,['138']
4620,jwp,"['241', '241', '241']"
4621,k,"['279', '279', '279', '279', '339', '339', '339', '339']"
4622,ka sh,['355']
4623,kalamazoo,['474']
4624,kampelman,"['202', '202']"
4625,kan,"['051', '428', '428']"
4626,kansa,"['122', '310', '310', '428', '495']"
4627,karbala 5,['095']
4628,kardamanend,['276']
4629,karen,['133']
4630,karl,['208']
4631,karsten,['330']
4632,kasl,['225']
4633,kasler,['225']
4634,kebo,"['489', '489', '489']"
4635,keboo,['489']
4636,keep,"['028', '136', '292', '292', '382', '445']"
4637,keiaisha,"['143', '143']"
4638,keltic,['213']
4639,ken,['111']
4640,keng,['386']
4641,kenneth,"['018', '351']"
4642,kenosha,['320']
4643,kenya,"['284', '284']"
4644,kenyan,"['284', '284']"
4645,kepco,"['142', '142', '142', '142', '142', '142']"
4646,kept,['107']
4647,kertosastro,"['438', '438']"
4648,kevlar,"['039', '039']"
4649,key,"['061', '133', '133', '133', '198', '207', '229', '265', '265', '266', '355', '448', '451', '495', '495']"
4650,kickback,"['117', '117']"
4651,kid,['180']
4652,kidder,['333']
4653,kidnap,['314']
4654,kidney,['407']
4655,kiechl,"['462', '462', '462', '462']"
4656,kiena,"['199', '251', '251', '251']"
4657,kilimanjaro,['158']
4658,kill,"['258', '276', '276', '277', '458']"
4659,kilo,"['001', '001']"
4660,kilomet,['095']
4661,kilotonn,['373']
4662,kim,"['348', '348', '348', '348', '348', '348', '348', '348']"
4663,kind,"['098', '230', '265', '268']"
4664,king,['499']
4665,kingdom,['018']
4666,kingston,['466']
4667,kinross,"['458', '458', '458']"
4668,kk,"['380', '380']"
4669,klein,['298']
4670,klm,"['453', '453']"
4671,klm.a,['453']
4672,km,"['276', '279', '318', '318', '339', '383', '383', '383']"
4673,knell,['495']
4674,knight,['045']
4675,know,"['131', '197', '270', '276', '277', '387', '431', '449', '451', '494']"
4676,know how,"['402', '405']"
4677,knowledg,['149']
4678,knox,['302']
4679,ko,['102']
4680,kodak,"['265', '265', '265', '265', '265', '265', '265', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348', '348']"
4681,kof,['466']
4682,kogyo,['380']
4683,kong,"['114', '140', '176', '176', '197', '355', '381', '381']"
4684,kopparberg,['446']
4685,korea,"['114', '128', '142', '142', '142', '142', '218', '218', '218', '247', '254', '432', '432', '482']"
4686,korea bas,['491']
4687,korean,"['128', '218', '218', '316', '376']"
4688,kph,['156']
4689,kyowa,['143']
4690,l,"['147', '183', '209', '342', '393', '406', '446']"
4691,l.k,['052']
4692,l.p,"['015', '015', '045', '157', '157']"
4693,l986,['288']
4694,la,"['419', '419']"
4695,labatt,['370']
4696,label,['010']
4697,labor,"['264', '264', '264', '264', '264', '264', '303', '425', '425', '445']"
4698,laboratori,['277']
4699,labour,"['262', '266', '437']"
4700,lac,"['487', '487', '487']"
4701,lack,"['194', '261', '376']"
4702,lacklust,['054']
4703,lacomb,['272']
4704,lag,"['399', '493']"
4705,lago,['383']
4706,laid,"['211', '211', '264']"
4707,lake,"['158', '158', '251', '276', '342', '368', '406', '454']"
4708,lallier,"['248', '248']"
4709,lambert,"['183', '333', '351', '352', '396', '490']"
4710,lan,['211']
4711,lana,['414']
4712,land,"['051', '122', '122', '207', '249', '249', '272', '448']"
4713,landlock,['158']
4714,landmark,"['173', '173']"
4715,landown,['428']
4716,lane,['098']
4717,languag,"['037', '078', '078', '265', '495']"
4718,langugag,['088']
4719,languish,['045']
4720,lanka,['426']
4721,lara,['311']
4722,lard,"['410', '410', '410']"
4723,larg,"['004', '016', '060', '078', '097', '097', '097', '097', '156', '194', '207', '218', '249', '265', '265', '282', '372', '448', '496', '496', '497']"
4724,large,"['003', '045', '078', '107', '111', '153', '163', '209', '218', '220', '229', '254', '261', '265', '272', '322', '333', '343', '376', '376', '383', '432', '445', '446', '482', '482']"
4725,larri,"['098', '340']"
4726,larsen,['018']
4727,laser,"['242', '265']"
4728,lash,"['317', '385']"
4729,last,"['001', '012', '018', '026', '026', '026', '026', '028', '028', '028', '040', '043', '047', '060', '061', '069', '069', '078', '078', '098', '107', '114', '116', '116', '133', '134', '134', '136', '138', '145', '148', '148', '150', '153', '154', '169', '174', '178', '180', '194', '194', '194', '195', '197', '197', '201', '203', '207', '207', '208', '208', '214', '216', '224', '227', '230', '235', '235', '242', '246', '254', '254', '255', '255', '255', '256', '256', '259', '262', '262', '262', '262', '262', '262', '262', '262', '262', '265', '265', '265', '267', '268', '268', '268', '269', '269', '276', '279', '284', '284', '284', '288', '292', '303', '306', '306', '314', '314', '316', '316', '322', '322', '328', '338', '339', '340', '340', '340', '340', '343', '350', '367', '372', '375', '375', '376', '378', '382', '383', '383', '383', '386', '399', '405', '405', '425', '425', '425', '425', '425', '438', '438', '444', '445', '446', '447', '448', '448', '451', '451', '451', '454', '455', '458', '458', '463', '463', '463', '463', '484', '491', '492', '494', '494', '495', '496', '496', '496', '496', '498', '498']"
4730,late,"['001', '008', '012', '018', '030', '039', '045', '062', '066', '080', '097', '122', '123', '123', '142', '148', '178', '204', '204', '208', '208', '235', '243', '248', '255', '262', '262', '263', '269', '292', '305', '305', '364', '373', '376', '392', '444', '450', '450', '487', '498']"
