,Words,Total Frequency
3266,1995,5
3267,site,4
3268,chosen,1
3269,05:19:27.56,1
3270,keiaisha,2
3271,swiss,10
3272,straight,2
3273,1992,7
3274,4-5/8,1
3275,coupon,11
3276,gotthard,1
3277,101-1/4,1
3278,semi-annu,5
3279,kyowa,1
3280,07:59:05.79,1
3281,westminst,7
3282,lend,14
3283,10.5,5
3284,08:08:57.16,1
3285,signal,7
3286,endors,2
3287,pound,6
3288,08:11:20.25,1
3289,usr,1
3290,08:13:16.75,1
3291,pacif,8
3292,spf,1
3293,bay,3
3294,s/l,1
3295,lp,1
3296,newport,1
3297,beach,1
3298,weekend,4
3299,fa,1
3300,l,7
3301,62.5,2
3302,state-chart,1
3303,312.8,1
3304,indemnifi,1
3305,08:13:36.29,1
3306,uranium,3
3307,temporarili,2
3308,ore,2
3309,oxid,2
3310,pend,5
3311,clarif,2
3312,anti-apartheid,1
3313,sanction,2
3314,pas,7
3315,re-export,2
3316,felt,3
3317,comprehens,2
3318,hurt,4
3319,u.s.-mad,1
3320,state-control,1
3321,repair,6
3322,08:15:28.61,1
3323,indict,2
3324,prosecutor,3
3325,bring,18
3326,feloni,1
3327,enforc,2
3328,knowledg,1
3329,investig,7
3330,walsh,1
3331,obstruct,1
3332,justic,2
3333,suspect,2
3334,08:15:42.31,1
3335,nyse,10
3336,aris,1
3337,floor,7
3338,bar,2
3339,interlist,1
3340,recognis,2
3341,posse,1
3342,apart,1
3343,screen,1
3344,stem,5
3345,bang,2
3346,demis,1
3347,tradit,5
3348,compromis,1
3349,partli,10
3350,ident,1
3351,lobbi,3
3352,expans,8
3353,reciproc,1
3354,presum,1
3355,disadvantag,1
3356,non-nys,1
3357,09:24:40.64,1
3358,orbit,4
3359,52.6,1
3360,44.2,1
3361,year-end,3
3362,independ,5
3363,67.2,2
3364,cubic,5
3365,foot,12
3366,sienna,1
3367,"173,000",1
3368,bcf,2
3369,09:24:55.56,1
3370,semolina,4
3371,egypt,4
3372,"2,000",2
3373,233.91,1
3374,multifood,1
3375,"13,000",3
3376,09:26:07.38,1
3377,cge,3
3378,privatis,6
3379,cie,5
3380,general,5
3381,d'electricit,1
3382,edouard,2
3383,balladur,2
3384,simpli,2
3385,tf1,1
3386,channel,3
3387,hava,1
3388,financier,1
3389,pariba,1
3390,pari.p,1
3391,floatat,1
3392,glass,1
3393,saint-gobain,1
3394,sgep.p,1
3395,telecommun,7
3396,shipbuild,9
3397,struck,1
3398,itt,4
3399,itt.n,1
3400,alcatel,1
3401,09:26:17.58,1
3402,consortium,4
3403,telephoniqu,1
3404,cgct,6
3405,owner,9
3406,foothold,1
3407,publicli,4
3408,candidaci,1
3409,giant,6
3410,telegraph,3
3411,t.n,1
3412,centr,2
3413,two-year,1
3414,battl,5
3415,dutch-bas,1
3416,philip,4
3417,b.v,2
3418,nv,4
3419,gloeilampenfabriek,1
3420,pglo.a,2
3421,societ,4
3422,sat,1
3423,midi,1
3424,sa,1
3425,mcdp.p,1
3426,siemen,5
3427,sieg.f,1
3428,jeumont-schneid,1
3429,sweden,5
3430,ab,18
3431,lm,1
3432,ericsson,2
3433,defenc,12
3434,matra,2
3435,bouygu,1
3436,09:27:39.53,1
3437,speaker,4
3438,wright,3
3439,congressman,2
3440,remaind,3
3441,hike,2
3442,congression,10
3443,outsid,8
3444,neither,2
3445,caught,1
3446,idea,4
3447,nonpartisan,1
3448,gray,1
3449,gramm-rudman,1
3450,spirit,1
3451,09:31:01.67,1
3452,blizzard,5
3453,bosphoru,4
3454,waterway,2
3455,pile,2
3456,snow,10
3457,cm,1
3458,deep,3
3459,istanbul,6
3460,paralys,1
3461,whip,1
3462,48,1
3463,kph,1
3464,northwest,1
3465,anatolia,1
3466,relief,7
3467,marmara,2
3468,ataturk,1
3469,airport,4
3470,09:33:06.03,1
3471,jpn,1
3472,seeker,1
3473,confid,6
3474,anglo,1
3475,t.b,1
3476,picken,1
3477,entiti,3
3478,95,5
3479,aggreg,1
3480,oversea,6
3481,will,7
3482,09:34:02.54,1
3483,tanzanian,1
3484,railway,6
3485,25.6,4
3486,state-run,2
3487,tanzania,2
3488,trc,4
3489,one-year,2
3490,mustafa,1
3491,nyang'anyi,2
3492,sponsor,2
3493,spare,1
3494,locomot,1
3495,overhaul,1
3496,800,5
3497,wagon,3
3498,"67,000",1
3499,sleeper,1
3500,belgium,3
3501,germani,20
3502,itali,8
3503,denmark,1
3504,rail,2
3505,dar,3
3506,e,3
3507,salaam,3
3508,tanga,1
3509,coffee-grow,1
3510,mount,1
3511,kilimanjaro,1
3512,lake,8
3513,victoria,1
3514,tanganyika,1
3515,tanzania-zambia,1
3516,zambian,1
3517,copperbelt,1
3518,landlock,1
3519,cargo,4
3520,uganda,5
3521,zair,1
3522,burundi,1
3523,09:34:13.71,1
3524,pegasu,1
3525,gold,13
3526,pgulf,1
3527,3rd,5
3528,"2,665,000",1
3529,"202,000",1
3530,"12,141,000",1
3531,"5,993,000",1
3532,"4,653,000",1
3533,"1,167,000",1
3534,35.1,3
3535,18.0,3
3536,09:34:57.56,1
3537,shp,1
3538,bradle,2
3539,store,36
3540,104,2
3541,same-stor,4
3542,modest,4
3543,northeast,2
3544,09:21:39.11,1
3545,oxi,3
3546,midcon,3
3547,terpstra,1
3548,repons,1
3549,assum,6
3550,o.c,1
3551,davi,2
3552,09:25:48.88,1
3553,bnl,10
3554,banca,2
3555,nazional,2
3556,lavoro,2
3557,eurobond,6
3558,lead-manag,1
3559,suisse-first,2
3560,nerio,1
3561,nesi,1
3562,luxembourg,3
3563,italian,2
3564,euromarket,1
3565,mid-march,1
3566,depositari,3
3567,branch,3
3568,efibanca,1
3569,unspecifi,4
3570,ordinari,5
3571,09:27:51.06,1
3572,amr,17
3573,650,2
3574,oprder,1
3575,cfg-80c2,1
3576,airbu,8
3577,a300-600r,3
3578,ba,3
3579,767-300er,2
3580,twinjet,3
3581,09:30:07.60,1
3582,precambrian,6
3583,shield,5
3584,1.93,1
3585,"53,412,000",1
3586,"4,479,000",1
3587,24.8,1
3588,32.7,1
3589,"51,187,000",2
3590,writedown,13
3591,uneconom,2
3592,miner,14
3593,properti,8
3594,09:30:48.45,1
3595,437,2
3596,450,2
3597,outright,1
3598,compris,10
3599,band,7
3600,10-7/8,2
3601,315,1
3602,10-13/16,3
3603,09:32:34.04,1
3604,greas,1
3605,monkey,1
3606,gmhc,1
3607,"130,998",1
3608,"30,732",1
3609,"1,568,941",1
3610,"1,0053,234",1
3611,09:33:32.98,1
3612,acpt,1
3613,"2,048,0000",1
3614,"1,318,000",1
3615,25.4,2
3616,12.3,2
3617,"1,135,000",1
3618,"576,000",1
3619,realiz,1
3620,"40,000",5
3621,"729,000",1
3622,09:35:03.37,1
3623,minstar,1
3624,mnst,1
3625,"5,429,000",1
3626,"5,216,000",1
3627,257.5,1
3628,243.6,1
3629,17.5,2
3630,"1,324,000",1
3631,"4,067,000",1
3632,989.5,1
3633,747.9,1
3634,17.6,1
3635,15.7,4
3636,1.07,1
3637,1.23,1
3638,47,3
3639,09:37:19.17,1
3640,dai-ichi,2
3641,1-5/8,2
3642,1-7/8,1
3643,volksbank,1
3644,"1,507",1
3645,yen,29
3646,"1,470",1
3647,09:37:43.02,1
3648,54.9,1
3649,27.2,1
3650,89,4
3651,16:48:40.42,1
3652,cancel,2
3653,6.66,1
3654,underwritten,2
3655,beck,1
3656,orang,1
3657,n.j,2
3658,16:48:55.38,1
3659,pork,4
3660,feed,8
3661,hog,4
3662,herd,1
3663,331.6,1
3664,4.2,6
3665,17.25,1
3666,17.05,1
3667,16:50:26.50,1
3668,landmark,2
3669,lbc,2
3670,whose,6
3671,symbol,1
3672,16:57:27.21,1
3673,subsequ,4
3674,44.1,1
3675,16:58:09.48,1
3676,carload,2
3677,"26,108",1
3678,22.8,1
3679,railroad,1
3680,"11,382",1
3681,1.8,5
3682,7.6,3
3683,16:59:25.38,1
3684,wrather,4
3685,wco,1
3686,"816,000",1
3687,11.3,3
3688,"453,300",1
3689,brierley,4
3690,"362,700",1
3691,6.6,1
3692,16:59:41.32,1
3693,coleco,5
3694,clo,1
3695,6.48,1
3696,dl,1
3697,110.6,1
3698,4.1,2
3699,74.0,1
3700,152.0,1
3701,6.52,1
3702,3.87,2
3703,111.2,2
3704,64.2,2
3705,501.0,1
3706,776.0,1
3707,17:00:56.04,1
3708,diamond,6
3709,shamrock,5
3710,dia,2
3711,post,14
3712,intermedi,4
3713,16.00,1
3714,copani,1
3715,weak,12
3716,17:01:28.10,1
3717,liebert,4
3718,lieb,1
3719,wholly-own,2
3720,emerson,2
3721,emr,1
3722,.3322,1
3723,17:05:08.18,1
3724,clc,1
3725,swing,5
3726,steep,1
3727,cabbag,1
3728,patch,1
3729,kid,1
3730,230,1
3731,fair,6
3732,morton,1
3733,handel,1
3734,15:22:36.13,1
3735,met-pro,1
3736,mpr,1
3737,15:24:00.88,1
3738,aileen,1
3739,aee,1
3740,1sr,1
3741,"1,553,000",1
3742,"1,031,000",1
3743,"8,696,000",1
3744,15:25:16.54,1
3745,int,4
3746,game,4
3747,igam,1
3748,2002,1
3749,drexel,8
3750,burnham,6
3751,lambert,6
3752,15:32:32.81,1
3753,wolverin,1
3754,www,1
3755,"414,000",1
3756,"3,936,000",1
3757,109.4,1
3758,126.8,1
3759,1.75,2
3760,"12,589,000",1
3761,"3,965,000",1
3762,341.7,1
3763,389.5,1
3764,15:32:42.51,1
3765,mead,3
3766,mea,1
3767,shelf,4
3768,goldman,11
3769,sach,14
3770,and/or,1
3771,salomon,4
3772,incur,2
3773,ampad,1
3774,zellerbach,1
3775,15:34:07.21,1
3776,hurco,1
3777,hurc,1
3778,"124,000",1
3779,"370,000",1
3780,11.7,2
3781,"3,673,000",1
3782,"2,368,000",1
3783,15:38:11.97,1
3784,alcid,2
3785,alcd,1
3786,"4,500,000",1
3787,15:39:02.46,1
3788,maxtor,6
3789,mxtr,1
3790,usdc,1
3791,15:39:21.46,1
3792,medic,3
3793,smed,1
3794,15:39:34.41,1
3795,lea,7
3796,ilfc,1
3797,pick,4
3798,cfm,1
3799,cfm56-5,1
3800,bypass,1
3801,turbofan,1
3802,a320,2
3803,18:37:48.60,1
3804,ran,1
3805,immun,8
3806,albert,1
3807,hakim,3
3808,top-rank,1
3809,player,4
3810,entic,1
3811,testifi,1
3812,probe,2
3813,crimin,1
3814,prosecut,1
3815,testimoni,1
3816,deepli,1
3817,hostag,2
3818,lebanon,1
3819,rebel,4
3820,nicaragua,1
3821,18:38:02.32,1
3822,restaur,5
3823,ra,1
3824,3,5
3825,56.9,1
3826,86,1
3827,3.0,7
3828,201.4,1
3829,140.0,1
3830,note:1985,1
3831,"99,000",1
3832,restat,1
3833,18:41:59.82,1
3834,michigan,9
3835,mgl,3
3836,1.01,2
3837,96.0,1
3838,90.3,1
3839,3.06,1
3840,39.3,1
3841,34.6,1
3842,386.0,1
3843,373.0,1
3844,14.4,2
3845,4.6,2
3846,13.1,3
3847,18:45:36.66,1
3848,prove,5
3849,802.8,1
3850,just-releas,1
3851,293.7,1
3852,libyan,3
3853,14.94,1
3854,us,1
3855,oilfield,2
3856,raw,5
3857,chemic,6
3858,628.5,1
3859,628.9,1
3860,174.3,1
3861,486.4,1
3862,east,8
3863,9.3,4
3864,316.7,1
3865,libya,1
3866,4.82,1
3867,trillion,6
3868,5.18,1
3869,zero,4
3870,71.9,1
3871,3.44,1
3872,3.65,3
3873,1.38,1
3874,962,1
3875,1.78,1
3876,audit,1
3877,unaudit,1
3878,shut,5
3879,idl,4
3880,1.03,1
3881,indefinit,3
3882,utah,1
3883,pennsylvania,3
3884,alabama,1
3885,feasibl,5
3886,reopen,2
3887,lack,3
3888,necessit,1
3889,18:50:05.96,1
3890,phillip,14
3891,p,6
3892,step,9
3893,pare,4
3894,pete,1
3895,sila,4
3896,rank,2
3897,happi,2
3898,1/4,1
3899,stood,2
3900,5.9,5
3901,8.6,1
3902,closer,2
3903,cautiou,3
3904,16-18,2
3905,andrew,1
3906,herold,1
3907,greenwich,1
3908,34.25,1
3909,1/3,1
3910,leverag,3
3911,room,5
3912,lot,2
3913,11-3/4,1
3914,18:50:57.36,1
3915,110,2
3916,10-3/4,3
3917,1998,4
3918,pursuant,1
3919,"1,000",2
3920,non-interest,1
3921,subordaint,1
3922,chapter,1
3923,debetur,1
3924,stockholders',1
3925,induc,2
3926,lender,7
3927,waiv,2
3928,default,2
3929,18:53:18.49,1
3930,b.c,3
3931,1.15,4
3932,1.20,2
3933,1.30,1
3934,full-year,1
3935,4.4,3
3936,year-earli,4
3937,63.5,1
3938,unforeseen,1
3939,105.7,1
3940,36.1,1
3941,31.1,1
3942,downward,7
3943,portfolio,5
3944,syndic,2
3945,sovereign,1
3946,confin,1
3947,18:54:46.18,1
3948,block,7
3949,contra,2
3950,nicaraguan,2
3951,defeat,1
3952,conced,3
3953,muster,1
3954,two-third,4
3955,overrid,1
3956,win,3
3957,105,1
3958,iin,1
3959,18:56:34.21,1
3960,kiena,4
3961,"1,019,000",1
3962,"985,000",1
3963,"7,997,000",1
3964,"7,492,000",1
3965,1.18,1
3966,"6,959,000",1
3967,"3,778,000",1
3968,36.5,1
3969,29.8,1
3970,18:56:43.55,1
3971,jan/feb,3
3972,"39,714",1
3973,"36,594",1
3974,beef,6
3975,"26,945",1
3976,"20,096",1
3977,hors,2
3978,"3,257",1
3979,"4,211",1
3980,offal,2
3981,"7,660",1
3982,"10,502",1
3983,"20,243",1
3984,"19,217",1
3985,"13,272",1
3986,"11,464",1
3987,"1,543",1
3988,"2,083",1
3989,"4,476",1
3990,"4,672",1
3991,refriger,1
3992,bone,3
3993,equival,4
3994,"5,500",3
3995,"7,900",1
3996,"5,200",1
3997,unavail,2
3998,israel,1
3999,"3,700",1
4000,"3,000",1
4001,peru,1
4002,"2,500",1
4003,canari,1
4004,malta,1
4005,aruba/curazao,1
4006,can,1
4007,cook,1
4008,"11,200",1
4009,"13,400",1
4010,"4,700",1
4011,"5,100",1
4012,08:16:35.37,1
4013,piedmont,22
4014,pie,2
4015,usair,21
4016,buyout,1
4017,aviat,3
4018,69,2
4019,absent,1
4020,unanim,2
4021,irrevoc,1
4022,"3,491,030",2
4023,50.1,2
4024,amend,5
4025,minimum,6
4026,satisfi,4
4027,71,4
4028,1.55,3
4029,1.90,1
4030,carl,2
4031,icahn-control,1
4032,tran,1
4033,airlin,7
4034,twa,4
4035,ground,5
4036,omit,1
4037,necessari,7
4038,refil,1
4039,08:21:01.71,1
4040,moscow,8
4041,verifi,1
4042,medium-rang,2
4043,missil,5
4044,europ,11
4045,max,1
4046,kampelman,2
4047,nbc,1
4048,hard,7
4049,richard,4
4050,perl,1
4051,side,9
4052,honour,4
4053,u.s.-soviet,1
4054,send,2
4055,mikhael,1
4056,gorbachev,1
4057,strateg,6
4058,sdi,1
4059,anti-missil,1
4060,so-cal,2
4061,intrus,1
4062,on-sit,1
4063,08:22:57.04,1
4064,api,3
4065,sharp,6
4066,"42,387",1
4067,"19,741",1
4068,"8,645",1
4069,"14,001",1
4070,hole,7
4071,"71,539",1
4072,"36,834",1
4073,"13,036",1
4074,"21,669",1
4075,08:23:31.25,1
4076,slip,2
4077,2.66,1
4078,2.78,1
4079,three-month,3
4080,6.0,2
4081,5.0,2
4082,end-januari,4
4083,24.07,1
4084,23.77,1
4085,saw,6
4086,grantor,1
4087,1.0,3
4088,08:27:14.06,1
4089,seafar,2
4090,180,1
4091,petrobra,1
4092,carvalho,1
4093,blockad,1
4094,illeg,3
4095,striker,2
4096,edson,1
4097,areia,1
4098,08:38:11.68,1
4099,nec,4
4100,nipni,1
4101,compat,1
4102,ibm,4
4103,pc,2
4104,powerm,3
4105,businessm,2
4106,intel,1
4107,intc,1
4108,"1,995",1
4109,"2,595",1
4110,"6,000",1
4111,08:40:06.50,1
4112,oecd,15
4113,cooper,9
4114,hamper,3
4115,face,14
4116,eiu,13
4117,2.8,3
4118,influenc,3
4119,hardest,2
4120,slowli,2
4121,115,2
4122,130,3
4123,76,3
4124,16.50,2
4125,end-1987,3
4126,15.50,2
4127,adher,2
4128,opec,27
4129,increasingli,4
4130,rag,2
4131,resum,5
4132,trade-weight,3
4133,18.4,4
4134,mark/dollar,2
4135,1.70,2
4136,yen/dollar,2
4137,barrier,6
4138,146,3
4139,crash,2
4140,scenario,2
4141,steeper,2
4142,angl,2
4143,descent,2
4144,firebal,2
4145,three-point,2
4146,slide,5
4147,scant,3
4148,shift,4
4149,tighter,3
4150,fsical,1
4151,fortun,3
4152,willing,3
4153,sustain,4
4154,thu,6
4155,eic,2
4156,deter,2
4157,sick,2
4158,4.5,5
4159,recoveri,4
4160,6.5,6
4161,elsewher,3
4162,flat,4
4163,margin,11
4164,competitively-pr,2
4165,08:44:23.42,1
4166,poehl,14
4167,bundesbank,7
4168,karl,1
4169,otto,2
4170,symposium,4
4171,remark,6
4172,duesseldorf,1
4173,deutsch,2
4174,match,1
4175,hint,2
4176,attend,2
4177,pointer,1
4178,defend,4
4179,revalu,1
4180,half-point,2
4181,lombard,1
4182,persuad,2
4183,bargain,3
4184,tabl,1
4185,exactli,1
4186,emphasis,1
4187,g-6,2
4188,realis,2
4189,harm,5
4190,tone,1
4191,sentiment,1
4192,underlin,1
4193,accommod,2
4194,combat,1
4195,instanc,3
4196,stanc,1
4197,overshoot,2
4198,respark,1
4199,whenev,1
4200,brought,8
4201,hunt,1
4202,08:44:51.73,1
4203,plessey,5
4204,ply.l,1
4205,multi-million,2
4206,digit,3
4207,competit,22
4208,telefon,1
4209,fujitsu,2
4210,italtel,1
4211,triumph,1
4212,telecom,2
4213,"68,000",1
4214,interconnect,1
4215,5p,1
4216,235p,1
4217,ex-dividend,1
4218,08:46:08.05,1
4219,reveal,1
4220,20.3,2
4221,analysi,5
4222,3.82,1
4223,instead,4
4224,1987-1989,2
4225,1994-1998,1
4226,53.3,1
4227,11.25,1
4228,7/8,3
4229,interbank,2
4230,12-year,1
4231,09:35:22.89,1
4232,gm,12
4233,layoff,9
4234,hourli,2
4235,built,5
4236,laid,3
4237,detroit-hamtramck,1
4238,"3,500",1
4239,lan,1
4240,mich,1
4241,n-bodi,1
4242,compact,4
4243,09:36:37.16,1
4244,mitsubishi,6
4245,motor/america,1
4246,43.7,1
4247,"9,735",1
4248,"6,776",1
4249,passeng,2
4250,"5,314",1
4251,"4,758",1
4252,truck,7
4253,van,2
4254,doubl,6
4255,"4,421",1
4256,"2,018",1
4257,year-to-d,1
4258,16.5,2
4259,"14,966",1
4260,"12,842",1
4261,13.7,2
4262,"7,640",1
4263,"8,848",1
4264,83.4,1
4265,"7,326",1
4266,"3,994",1
4267,09:38:14.93,1
4268,keltic,1
4269,99,1
4270,"418,733",1
4271,"235,572",1
4272,"2,777,425",1
4273,"2,024,116",1
4274,"600,000",1
4275,09:39:13.96,1
4276,supermarket,6
4277,sgc,2
4278,424.8,2
4279,7.2,3
4280,396.4,2
4281,09:40:41.79,1
4282,206,1
4283,rest,6
4284,alter,1
4285,111,2
4286,243,1
4287,09:40:53.56,1
4288,09:41:51.56,1
4289,efh,2
4290,purol,5
4291,pcc,1
4292,"6,332,471",2
4293,courier,1
4294,prorat,1
4295,withdrfaw,1
4296,"5,116,892",2
4297,66.7,1
4298,sharesd,1
4299,09:42:45.36,1
4300,yeutter,10
4301,lie,1
4302,soley,1
4303,clayton,2
4304,asia,2
4305,societi,1
4306,taiwain,1
4307,perceiv,2
4308,caput,2
4309,tarrif,1
4310,underli,3
4311,otherwis,1
4312,soon,7
4313,counteract,1
4314,trend,8
4315,09:42:52.28,1
4316,princevil,1
4317,pvdc,1
4318,"2,806,005",1
4319,"1,513,395",1
4320,"8,982,754",1
4321,"8,804,899",1
4322,3.4,3
4323,"332,000",1
4324,09:44:47.86,1
4325,orange-co,2
4326,oj,1
4327,resourec,1
4328,"644,727",1
4329,09:44:55.17,1
4330,horizon,1
4331,hzn,1
4332,1.66,1
4333,12.0,2
4334,"572,000",1
4335,27.4,1
4336,"4,311,000",1
4337,1.36,2
4338,43,7
4339,"9,817,000",1
4340,"2,433,000",2
4341,35.0,1
4342,"7,224,000",1
4343,"6,731,000",1
4344,"492,000",1
4345,"168,000",1
4346,pretax,1
4347,21.8,1
4348,paradis,1
4349,n.m,1
4350,09:37:53.73,1
4351,saab-scania,2
4352,101-3/4,1
4353,guaranti,4
4354,denomin,3
4355,1-1/4,1
4356,5/8,2
4357,09:38:16.31,1
4358,transform,3
4359,logic,2
4360,toog,1
4361,compens,4
4362,resolut,1
4363,disagr,1
4364,auditor,3
4365,option-gr,1
4366,conform,1
4367,"305,082",1
4368,"580,955",1
4369,"249,814",1
4370,"26,195",1
4371,09:38:28.76,1
4372,3.70,1
4373,3.85,1
4374,4.11,1
4375,13.89,1
4376,elabor,2
4377,09:38:33.69,1
4378,kasler,1
4379,kasl,1
4380,"161,000",1
4381,"367,000",1
4382,24.3,1
4383,26.5,1
4384,09:41:45.44,1
4385,caribbean,4
4386,csel,1
4387,0.01,1
4388,3.50,2
4389,09:45:18.22,1
4390,unilev,7
4391,un.a,1
4392,strip,1
4393,angu,3
4394,strategi,4
4395,1.14,2
4396,953,1
4397,guilder,12
4398,3.81,1
4399,chesebrough-pond,1
4400,cbm.n,1
4401,72.50,1
4402,niall,1
4403,fitzgerald,1
4404,gear,2
4405,plu,4
4406,diverg,2
4407,15.33,1
4408,29.9,1
4409,50.17p,1
4410,attribut,3
4411,prospectu,1
4412,chesebrough,2
4413,sort,2
4414,beyond,2
4415,stauffer,1
4416,lipton,1
4417,household,3
4418,margarin,1
4419,surf,1
4420,deterg,1
4421,09:45:29.48,1
4422,sara,2
4423,lee,3
4424,sle,1
4425,dim,5
4426,paris-bas,1
4427,bic,1
4428,84,1
4429,hosieri,1
4430,260,1
4431,"360,537",1
4432,newli,3
4433,"229,463",1
4434,09:45:54.32,1
4435,holiday,7
4436,hia,1
4437,"4,440",1
4438,presenc,2
4439,spring,1
4440,classifi,1
4441,eighth,2
4442,asia/pacif,1
4443,192,1
4444,europe/middl,1
4445,east/africa,1
4446,regionbi,1
4447,untap,1
4448,lodg,1
4449,cater,1
4450,amsterdam,2
4451,lyon/atla,1
4452,lisbon,1
4453,09:46:36.82,1
4454,favour,7
4455,embassi,2
4456,inaccur,1
4457,peke,1
4458,editori,2
4459,coincid,1
4460,extrem,2
4461,businessmen,2
4462,prejudic,1
4463,admit,2
4464,generalis,1
4465,gsp,1
4466,articl,2
4467,counsellor,1
4468,chen,1
4469,shibiao,1
4470,difficulti,3
4471,fulfil,1
4472,protectionist,2
4473,behaviour,1
4474,out-of-d,1
4475,17:06:06.68,1
4476,olin,5
4477,olm,1
4478,ceo,2
4479,johnston,3
4480,jr,2
4481,hensk,4
4482,53,3
4483,serv,5
4484,1980,2
4485,17:08:27.52,1
4486,engag,3
4487,explain,8
4488,17:09:47.78,1
4489,robeson,5
4490,rbsn,1
4491,miami-bas,1
4492,"238,000",1
4493,14.6,2
4494,"205,000",1
4495,12.8,1
4496,"32,800",1
4497,"175,691",1
4498,afterward,1
4499,17:11:01.51,1
4500,gao,9
4501,cert,1
4502,costli,1
4503,outlay,1
4504,jess,1
4505,helm,1
4506,r-n.c,1
4507,mid,1
4508,forfeitur,1
4509,stockpil,1
4510,decreas,3
4511,weigh,1
4512,omb,1
4513,firmli,2
4514,17:11:26.97,1
4515,banks-azpurua,1
4516,attitud,1
4517,manuel,1
4518,azpurua,6
4519,jorg,1
4520,marcano,1
4521,13-bank,1
4522,solidar,1
4523,basic,5
4524,element,2
4525,deferr,2
4526,lenghten,1
4527,12-1/2,1
4528,1.05,2
4529,420,1
4530,non-restructur,1
4531,insist,3
4532,solut,2
4533,capitl,1
4534,17:24:42.88,1
4535,dahlberg,1
4536,dahl,1
4537,"286,870",1
4538,"156,124",1
4539,"7,577,207",1
4540,"160,109",1
4541,"906,034",1
4542,38.1,1
4543,31.2,1
4544,17:32:15.34,1
4545,ctyn,1
4546,17:32:49.67,1
4547,page,2
4548,1.98,1
4549,5.24,1
4550,23.3,1
4551,44.8,1
4552,13.6,1
4553,29.6,1
4554,unreal,1
4555,yr-ago,2
4556,32.5,1
4557,17:33:05.21,1
4558,thomson,6
4559,mckinnon,4
4560,cmo,5
4561,collater,2
4562,invers,5
4563,7.11,1
4564,2018,2
4565,7.0375,1
4566,reset,1
4567,floater,2
4568,4.8,1
4569,13.49,1
4570,104.40,1
4571,minu,4
4572,6-1/2,1
4573,opposit,4
4574,fixed-r,1
4575,35.2,1
4576,2016,2
4577,assign,2
4578,7.65,1
4579,par,3
4580,aaa,1
4581,freddi,5
4582,mac,5
4583,17:33:25.81,1
4584,idb,1
4585,idbx,1
4586,"801,000",1
4587,"703,000",1
4588,"6,318,000",1
4589,"3,926,000",1
4590,15:40:26.67,1
4591,jwp,3
4592,9.25,1
4593,15:41:31.04,1
4594,storag,11
4595,tech,1
4596,stk,1
4597,ir,4
4598,dicuss,1
4599,pursu,4
4600,g,1
4601,jerritt,2
4602,simultan,1
4603,expedit,1
4604,laser,2
4605,15:41:46.52,1
4606,automak,4
4607,chrysler,20
4608,weaker,3
4609,carmak,3
4610,8.2,7
4611,15:42:09.99,1
4612,bradford-taylor,1
4613,compil,1
4614,mail,2
4615,15:45:20.31,1
4616,weigh-tronix,1
4617,wght,1
4618,"348,298",1
4619,"308,927",1
4620,"4,166,750",1
4621,"3,740,970",1
4622,"1,409,867",1
4623,"1,020,096",1
4624,"1,974,529",1
4625,"1,956,214",1
4626,15:45:27.49,1
4627,bogu,1
4628,exxon,10
4629,forg,1
4630,xon,2
4631,enquiri,1
4632,fear,4
4633,victim,3
4634,agent,5
4635,900,2
4636,brussel,3
4637,forgeri,3
4638,euro-clear,2
4639,discov,4
4640,intermediari,1
4641,apprehend,1
4642,polic,3
4643,unawar,1
4644,arrest,1
4645,20-year,1
4646,euronot,1
4647,cedel,1
4648,15:45:35.38,1
4649,15:47:27.24,1
4650,edf,6
4651,euro-cp,1
4652,electricit,1
4653,euro-commerci,1
4654,lallier,2
4655,push,2
4656,infanc,1
4657,overse,1
4658,15:47:50.80,1
4659,cbt,6
4660,neutral,2
4661,farmland,1
4662,guess,1
4663,10-12,1
4664,underpin,1
4665,sign-up,1
4666,set-asid,1
4667,erodobl,1
4668,15:48:34.01,1
4669,monarch,1
4670,avalon,1
4671,mahi,1
4672,"199,000",1
4673,"81,000",1
4674,"261,000",1
4675,19:02:33.14,1
4676,66-2/3,1
4677,cast,1
4678,57,4
4679,pct-owner,1
4680,campbel,1
4681,crk,1
4682,19:04:31.39,1
4683,vanzetti,2
4684,vanz,1
4685,"300,000",6
4686,"150,000",5
4687,19:04:38.26,1
4688,row,2
4689,furnitur,2
4690,19:05:21.41,1
4691,lawmak,3
4692,toughen,1
4693,controversi,1
4694,toned-down,1
4695,democratic-sponsor,1
4696,wrap,1
4697,mandat,1
4698,penalti,1
4699,hurdl,1
4700,gephardt,1
4701,nomin,1
4702,moder,3
4703,imbal,3
4704,criterion,1
4705,169,3
4706,whatev,1
4707,displac,1
4708,stimul,3
4709,educ,2
4710,unfair,4
4711,collect,2
4712,appropri,6
4713,violat,2
4714,injur,2
4715,deserv,1
4716,cautious,1
4717,democratic-l,1
4718,19:06:36.56,1
4719,vsevolod,1
4720,murakhovski,5
4721,agro-industri,1
4722,gosagroprom,1
4723,rhone-poulenc,2
4724,pechiney,3
4725,imec,2
4726,sulphur,1
4727,fruit,3
4728,juic,1
4729,foresaw,1
4730,anybodi,1
4731,assur,6
4732,rapidli,2
4733,concret,1
4734,businessman,1
4735,jean-baptist,1
4736,doumeng,3
4737,interagra,1
4738,examin,3
4739,renew,3
4740,19:09:27.77,1
4741,ecuador,42
4742,undetermin,1
4743,serious,4
4744,arturo,1
